"","Adrift_id","HB_browsed","Blue_browsed","Humpback_pres","BlueWhale_pres","DepHrs"
"1","ADRIFT_019","yes","no",0,NA,103
"2","ADRIFT_020","yes","no",0,NA,98
"3","ADRIFT_021","yes","no",0,NA,98
"4","ADRIFT_022","yes","no",0,NA,96
"5","ADRIFT_023","yes","no",0,NA,99
"6","ADRIFT_024","yes","no",0,NA,98
"7","ADRIFT_025","yes","no",8,NA,95
"8","ADRIFT_026","yes","no",0,NA,97
"9","ADRIFT_046","yes","no",116,NA,123
"10","ADRIFT_047","yes","no",111,NA,123
"11","ADRIFT_048","yes","no",151,NA,168
"12","ADRIFT_049","yes","no",106,NA,118
"13","ADRIFT_050","yes","no",100,NA,119
"14","ADRIFT_051","yes","no",90,NA,119
"15","ADRIFT_052","yes","no",97,NA,122
"16","ADRIFT_053","yes","no",112,NA,122
"17","ADRIFT_079","yes","yes",6,54,118
"18","ADRIFT_080","yes","yes",0,98,121
"19","ADRIFT_081","yes","yes",0,87,117
"20","ADRIFT_082","yes","yes",0,74,93
"21","ADRIFT_083","yes","no",0,NA,116
"22","ADRIFT_084","no","no",NA,NA,NA
"23","ADRIFT_101","no","no",NA,NA,NA
"24","ADRIFT_102","no","no",NA,NA,NA
"25","ADRIFT_103","no","no",NA,NA,NA
"26","ADRIFT_104","no","no",NA,NA,NA
"27","ADRIFT_105","no","no",NA,NA,NA
"28","ADRIFT_106","no","no",NA,NA,NA
"29","ADRIFT_107","no","no",NA,NA,NA
"30","ADRIFT_108","no","no",NA,NA,NA
