"","Adrift_id","HB_browsed","Blue_browsed"
"1","ADRIFT_019","no","no"
"2","ADRIFT_020","yes","no"
"3","ADRIFT_021","yes","no"
"4","ADRIFT_022","yes","no"
"5","ADRIFT_023","yes","no"
"6","ADRIFT_024","yes","no"
"7","ADRIFT_025","yes","no"
"8","ADRIFT_026","yes","no"
"9","ADRIFT_046","yes","no"
"10","ADRIFT_047","yes","no"
"11","ADRIFT_048","yes","no"
"12","ADRIFT_049","yes","no"
"13","ADRIFT_050","yes","no"
"14","ADRIFT_051","yes","no"
"15","ADRIFT_052","yes","no"
"16","ADRIFT_053","yes","no"
"17","ADRIFT_079","no","yes"
"18","ADRIFT_080","no","yes"
"19","ADRIFT_081","no","yes"
"20","ADRIFT_082","no","yes"
"21","ADRIFT_083","no","no"
"22","ADRIFT_084","no","no"
"23","ADRIFT_101","no","no"
"24","ADRIFT_102","no","no"
"25","ADRIFT_103","no","no"
"26","ADRIFT_104","no","no"
"27","ADRIFT_105","no","no"
"28","ADRIFT_106","no","no"
"29","ADRIFT_107","no","no"
"30","ADRIFT_108","no","no"
